,title,price,link
0,"Samsung Galaxy Book4 Laptop, 15.6"", Intel i5, 8GB RAM, 256GB Storage - Moonstone Gray
",749.,https://amazon.ca//sspa/click?ie=UTF8&spc=MTo4NTc4MDMxMjk4ODYyODA4OjE3Mjc3Mjc4NDE6c3BfYXRmOjMwMDE1MzIwNDUyNTEwMjo6MDo6&url=%2FSamsung-Galaxy-Book4-Laptop-Storage%2Fdp%2FB0CV7KZ95D%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9._lZqQ6P9dP5gt4HkmdtzzcZDet8zI6dc0hC6K844I89gJN9oVkVvPGtbrE2kaUS_2dgTyzQSks5DeswSzKF5XE6I2AFTugAp-hBaMwlu1Wvw7aIqmP-DTEnQLZI7f9Qj8lCaVZgI9-mlmD9PRONNnmqnvXp070nNaFtpvHZImMNlWFlo-frA5kZ7CZZqCBpL0OwUM1ptTbOqUueZhK0mNm7NB3GUVG0ggFPivmXRhvc-sjT8nVJ1k4otQHIYcKh1p1M4WBPZCXy3sqcJ2alEcusLk5c8o-TGYTB-gJNzccQ.QEPdj3dA8hGI17PgZhSipq9E8wklDEj326TdpWicbXQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727727840%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"ASUS Chromebook CX1 Laptop, 15.6"" FHD NanoEdge Display, Intel Celeron N4500 Processor, 64GB eMMC Storage, 4GB RAM, Wi-Fi 6 ChromeOS, CX1500CKA-DH03-CB  ",249.,https://amazon.ca//sspa/click?ie=UTF8&spc=MTo4NTc4MDMxMjk4ODYyODA4OjE3Mjc3Mjc4NDE6c3BfYXRmOjMwMDE0NTY3OTAzOTUwMjo6MDo6&url=%2FASUS-Chromebook-NanoEdge-Processor-CX1500CKA-DH03-CB%2Fdp%2FB0CPTD9X9S%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9._lZqQ6P9dP5gt4HkmdtzzcZDet8zI6dc0hC6K844I89gJN9oVkVvPGtbrE2kaUS_2dgTyzQSks5DeswSzKF5XE6I2AFTugAp-hBaMwlu1Wvw7aIqmP-DTEnQLZI7f9Qj8lCaVZgI9-mlmD9PRONNnmqnvXp070nNaFtpvHZImMNlWFlo-frA5kZ7CZZqCBpL0OwUM1ptTbOqUueZhK0mNm7NB3GUVG0ggFPivmXRhvc-sjT8nVJ1k4otQHIYcKh1p1M4WBPZCXy3sqcJ2alEcusLk5c8o-TGYTB-gJNzccQ.QEPdj3dA8hGI17PgZhSipq9E8wklDEj326TdpWicbXQ%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727727840%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Gateway (by Acer) Chromebook Laptop | 14"" FHD 1920x1080 | TN Chromebook | Intel Celeron N4500 | 4GB LPDDR4X RAM | 64GB eMMC | Chrome OS | CBO314-1H-C3AX  ",329.,https://amazon.ca//sspa/click?ie=UTF8&spc=MTo0MDE0ODkyMzE1NTE5MjUxOjE3Mjc3Mjc4NDE6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDE3NzAxMjg4NTAwMjo6Mzo6&url=%2FGateway-Acer-Chromebook-1920x1080-CBO314-1H-C3AX%2Fdp%2FB0CY3H3LP4%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.e251a9a8-91a9-4f1e-be32-505687a120a3%253Aamzn1.sym.e251a9a8-91a9-4f1e-be32-505687a120a3%26cv_ct_cx%3Dlaptop%26dib%3DeyJ2IjoiMSJ9.NIWP0tgHm-5C0iTM30AKYN4cN3nUX0brVuL113DMhDAYw4rJdKKHxExbwtZk2ZpX6rwIYXHx0H7RcbbqAXXhEg.98rE6PoPyPpEV6ncmi0wQJR8_zpDYEjbzdo6N_oOLr8%26dib_tag%3Dse%26keywords%3Dlaptop%26pd_rd_i%3DB0CY3H3LP4%26pd_rd_r%3D6197aad8-aa7b-4aaa-bc10-2b1dabcaa37e%26pd_rd_w%3DnSTQn%26pd_rd_wg%3DWKC7D%26pf_rd_p%3De251a9a8-91a9-4f1e-be32-505687a120a3%26pf_rd_r%3DK5HJ9HX157P6P2W0WAT9%26qid%3D1727727840%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-0db4faf6-3485-4ed7-80e2-7395e0b5d027-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
3,"ASUS TUF Gaming F15 (2024) Gaming Laptop, 15.6” FHD 144Hz Display, GeForce RTX 3050, Intel Core i5-12500H, 8GB DDR4, 512GB PCIe SSD, Wi-Fi 6, Windows 11, FX507ZC4-AS51-CA  ","1,099.",https://amazon.ca//Display-GeForce-i5-12500H-Windows-FX507ZC4-AS51-CA/dp/B0CS4XGCK2/ref=sr_1_75?dib=eyJ2IjoiMSJ9.8oXDg0kIvg3RS8wPMErWTZgRMV_laFZIosY5Q6uXtthRZBrAwfkCq9sTPk-lujEhkpMsdI_9hu3tZzSJ4NGDX3IUDV72Sy2ofFCHKNffYxMIQYtUFWzAB3OR0Z8dxISt8IOay_zDLCzLz09Be3_RaYczv4VXJf6bv-1OAWfBahmS_ycTMfHXYrMhTyGWCxgOzY_Qfh0XOvgX8K0KzlI2ZlRWRGWB_vhqCdjAFRI4AycCNJswXOtuabZcQ5rAmkAop7l9kWnRjgLPwxCyD91czGeOqB7Jk-0y3EtKtxoeW9Y.T0qjIUFzwe9LafzxBkKeodAcKtmNc7jDrjvT26XjCqs&dib_tag=se&keywords=laptop&qid=1727727845&sr=8-75
4,"Acer Aspire 3 Slim Laptop | 15.6"" Full HD Display | Intel Core i7-1165G7 CPU | 16GB DDR4 | 512GB Fast SSD | Wi-Fi 6 | Win 11 Home ( 1 yr Manufacturer Warranty) (Renewed)  ",619.,https://amazon.ca//Acer-Display-i7-1165G7-Manufacturer-Warranty/dp/B0CZY3QWWP/ref=sr_1_76?dib=eyJ2IjoiMSJ9.8oXDg0kIvg3RS8wPMErWTZgRMV_laFZIosY5Q6uXtthRZBrAwfkCq9sTPk-lujEhkpMsdI_9hu3tZzSJ4NGDX3IUDV72Sy2ofFCHKNffYxMIQYtUFWzAB3OR0Z8dxISt8IOay_zDLCzLz09Be3_RaYczv4VXJf6bv-1OAWfBahmS_ycTMfHXYrMhTyGWCxgOzY_Qfh0XOvgX8K0KzlI2ZlRWRGWB_vhqCdjAFRI4AycCNJswXOtuabZcQ5rAmkAop7l9kWnRjgLPwxCyD91czGeOqB7Jk-0y3EtKtxoeW9Y.T0qjIUFzwe9LafzxBkKeodAcKtmNc7jDrjvT26XjCqs&dib_tag=se&keywords=laptop&qid=1727727845&sr=8-76
5,"HP 15.6"" HD Business Laptop, Intel Pentium N200 Processor, 16GB RAM, 128GB SSD, Intel UHD Graphics, Numeric Keyboard, HD Webcam, WiFi, 1 Year Office 365, Windows 11, Scarlet Red, 32GB Hotface USB Card  ",499.,https://amazon.ca//HP-Business-Processor-Graphics-Keyboard/dp/B0CP212L7V/ref=sr_1_77?dib=eyJ2IjoiMSJ9.8oXDg0kIvg3RS8wPMErWTZgRMV_laFZIosY5Q6uXtthRZBrAwfkCq9sTPk-lujEhkpMsdI_9hu3tZzSJ4NGDX3IUDV72Sy2ofFCHKNffYxMIQYtUFWzAB3OR0Z8dxISt8IOay_zDLCzLz09Be3_RaYczv4VXJf6bv-1OAWfBahmS_ycTMfHXYrMhTyGWCxgOzY_Qfh0XOvgX8K0KzlI2ZlRWRGWB_vhqCdjAFRI4AycCNJswXOtuabZcQ5rAmkAop7l9kWnRjgLPwxCyD91czGeOqB7Jk-0y3EtKtxoeW9Y.T0qjIUFzwe9LafzxBkKeodAcKtmNc7jDrjvT26XjCqs&dib_tag=se&keywords=laptop&qid=1727727845&sr=8-77
6,"Dell Latitude 7490 14 HD Anti-Glare, Intel Core i5-8350U, 16GB DDR4, 256GB Solid State Drive, Webcam, Bluetooth, Windows 10Pro (Renewed)  ",247.,https://amazon.ca//Dell-Latitude-7490-Anti-Glare-Bluetooth/dp/B08FCPDH64/ref=sr_1_78?dib=eyJ2IjoiMSJ9.8oXDg0kIvg3RS8wPMErWTZgRMV_laFZIosY5Q6uXtthRZBrAwfkCq9sTPk-lujEhkpMsdI_9hu3tZzSJ4NGDX3IUDV72Sy2ofFCHKNffYxMIQYtUFWzAB3OR0Z8dxISt8IOay_zDLCzLz09Be3_RaYczv4VXJf6bv-1OAWfBahmS_ycTMfHXYrMhTyGWCxgOzY_Qfh0XOvgX8K0KzlI2ZlRWRGWB_vhqCdjAFRI4AycCNJswXOtuabZcQ5rAmkAop7l9kWnRjgLPwxCyD91czGeOqB7Jk-0y3EtKtxoeW9Y.T0qjIUFzwe9LafzxBkKeodAcKtmNc7jDrjvT26XjCqs&dib_tag=se&keywords=laptop&qid=1727727845&sr=8-78
7,"Acer Aspire 3 Laptop 15.6"" Full HD Display | AMD Ryzen 7 5700U CPU | 16GB DDR4 | 1TB SSD | Windows 11 Home (1 Yr Manufacturer Warranty) (Renewed)  ",539.,https://amazon.ca//Acer-Display-Windows-Manufacturer-Warranty/dp/B0D1JZYKRV/ref=sr_1_79?dib=eyJ2IjoiMSJ9.8oXDg0kIvg3RS8wPMErWTZgRMV_laFZIosY5Q6uXtthRZBrAwfkCq9sTPk-lujEhkpMsdI_9hu3tZzSJ4NGDX3IUDV72Sy2ofFCHKNffYxMIQYtUFWzAB3OR0Z8dxISt8IOay_zDLCzLz09Be3_RaYczv4VXJf6bv-1OAWfBahmS_ycTMfHXYrMhTyGWCxgOzY_Qfh0XOvgX8K0KzlI2ZlRWRGWB_vhqCdjAFRI4AycCNJswXOtuabZcQ5rAmkAop7l9kWnRjgLPwxCyD91czGeOqB7Jk-0y3EtKtxoeW9Y.T0qjIUFzwe9LafzxBkKeodAcKtmNc7jDrjvT26XjCqs&dib_tag=se&keywords=laptop&qid=1727727845&sr=8-79
8,"15.6"" Laptop 12GB RAM+256GB SSD by ALLDOCUBE GTBook 15, Windows 11 System, Intel Celeron N5100 Quad-core Chip, FHD IPS 1920x1080 Display, Dual Microphone & Speaker, 2.4G+5G WiFi, 10000mAh Battery  ",399.,https://amazon.ca//ALLDOCUBE-15-Quad-core-1920x1080-Microphone/dp/B0BLVDYNGJ/ref=sr_1_80?dib=eyJ2IjoiMSJ9.8oXDg0kIvg3RS8wPMErWTZgRMV_laFZIosY5Q6uXtthRZBrAwfkCq9sTPk-lujEhkpMsdI_9hu3tZzSJ4NGDX3IUDV72Sy2ofFCHKNffYxMIQYtUFWzAB3OR0Z8dxISt8IOay_zDLCzLz09Be3_RaYczv4VXJf6bv-1OAWfBahmS_ycTMfHXYrMhTyGWCxgOzY_Qfh0XOvgX8K0KzlI2ZlRWRGWB_vhqCdjAFRI4AycCNJswXOtuabZcQ5rAmkAop7l9kWnRjgLPwxCyD91czGeOqB7Jk-0y3EtKtxoeW9Y.T0qjIUFzwe9LafzxBkKeodAcKtmNc7jDrjvT26XjCqs&dib_tag=se&keywords=laptop&qid=1727727845&sr=8-80
9,"Lenovo ThinkPad T590 15.6"" FHD (1920x1080) IPS 250nits Anti-Glare Display - Intel Core i5-8365U Processor with vPro, 16GB RAM, 512GB PCIe-NVMe SSD, Windows 10 Pro 64-bit (Renewed)  ",427.,https://amazon.ca//Lenovo-ThinkPad-1920x1080-250nits-Anti-Glare/dp/B0BXYPNQNY/ref=sr_1_81?dib=eyJ2IjoiMSJ9.8oXDg0kIvg3RS8wPMErWTZgRMV_laFZIosY5Q6uXtthRZBrAwfkCq9sTPk-lujEhkpMsdI_9hu3tZzSJ4NGDX3IUDV72Sy2ofFCHKNffYxMIQYtUFWzAB3OR0Z8dxISt8IOay_zDLCzLz09Be3_RaYczv4VXJf6bv-1OAWfBahmS_ycTMfHXYrMhTyGWCxgOzY_Qfh0XOvgX8K0KzlI2ZlRWRGWB_vhqCdjAFRI4AycCNJswXOtuabZcQ5rAmkAop7l9kWnRjgLPwxCyD91czGeOqB7Jk-0y3EtKtxoeW9Y.T0qjIUFzwe9LafzxBkKeodAcKtmNc7jDrjvT26XjCqs&dib_tag=se&keywords=laptop&qid=1727727845&sr=8-81
